program runtime size blocksize iteration threads gflops model strat visits_per_task steals_per_task foo
dpotrf_taskdep simulation 8192 256 1 105 993.613 IdchireAffinityAVG RandLoc 1512.56 14.7644 0
dpotrf_taskdep simulation 8192 256 1 107 996.539 IdchireAffinityAVG RandLoc 1491.99 14.3068 0
dpotrf_taskdep simulation 8192 256 1 108 1014.14 IdchireAffinityAVG RandLoc 1525.97 14.4916 0
dpotrf_taskdep simulation 8192 256 1 109 1013.76 IdchireAffinityAVG RandLoc 1540.67 14.5072 0
dpotrf_taskdep simulation 8192 256 1 110 1030.08 IdchireAffinityAVG RandLoc 1653.97 15.4039 0
dpotrf_taskdep simulation 8192 256 1 111 1024.96 IdchireAffinityAVG RandLoc 1714.56 15.8048 0
dpotrf_taskdep simulation 8192 256 1 112 1004.97 IdchireAffinityAVG RandLoc 1739.7 15.8966 0
dpotrf_taskdep simulation 8192 256 1 113 1019.71 IdchireAffinityAVG RandLoc 1697.26 15.3812 0
dpotrf_taskdep simulation 8192 256 1 114 1031.32 IdchireAffinityAVG RandLoc 1918.47 17.1791 0
dpotrf_taskdep simulation 8192 256 1 115 1042.01 IdchireAffinityAVG RandLoc 1857.89 16.5082 0
dpotrf_taskdep simulation 8192 256 1 1 13.6048 IdchireAffinityAVG Affinity 1.0361 1.00017 0
dpotrf_taskdep simulation 8192 256 1 116 1051.72 IdchireAffinityAVG RandLoc 1935.24 17.0423 0
dpotrf_taskdep simulation 8192 256 1 118 1048.22 IdchireAffinityAVG RandLoc 2016.65 17.4459 0
dpotrf_taskdep simulation 8192 256 1 119 1065.25 IdchireAffinityAVG RandLoc 2054.7 17.6156 0
dpotrf_taskdep simulation 8192 256 1 2 27.1954 IdchireAffinityAVG Affinity 1.50184 1.00167 0
dpotrf_taskdep simulation 8192 256 1 117 1020.45 IdchireAffinityAVG RandLoc 2084.47 18.1606 0
dpotrf_taskdep simulation 8192 256 1 3 40.732 IdchireAffinityAVG Affinity 2.98229 1.00618 0
dpotrf_taskdep simulation 8192 256 1 120 1070.76 IdchireAffinityAVG RandLoc 2113.09 17.9636 0
dpotrf_taskdep simulation 8192 256 1 4 54.1934 IdchireAffinityAVG Affinity 4.75468 1.01203 0
dpotrf_taskdep simulation 8192 256 1 121 1110.39 IdchireAffinityAVG RandLoc 2076.56 17.5104 0
dpotrf_taskdep simulation 8192 256 1 123 1121.83 IdchireAffinityAVG RandLoc 2184.6 18.1163 0
dpotrf_taskdep simulation 8192 256 1 5 67.6001 IdchireAffinityAVG Affinity 6.90491 1.02072 0
dpotrf_taskdep simulation 8192 256 1 6 80.8282 IdchireAffinityAVG Affinity 10.1078 1.0361 0
dpotrf_taskdep simulation 8192 256 1 122 1069.18 IdchireAffinityAVG RandLoc 2233.6 18.6504 0
dpotrf_taskdep simulation 8192 256 1 8 107.21 IdchireAffinityAVG Affinity 16.7838 1.06601 0
dpotrf_taskdep simulation 8192 256 1 7 94.046 IdchireAffinityAVG Affinity 14.2209 1.05314 0
dpotrf_taskdep simulation 8192 256 1 10 133.364 IdchireAffinityAVG Affinity 23.2164 1.0864 0
dpotrf_taskdep simulation 8192 256 1 9 119.989 IdchireAffinityAVG Affinity 24.5002 1.09559 0
dpotrf_taskdep simulation 8192 256 1 12 157.821 IdchireAffinityAVG Affinity 43.62 1.18566 0
dpotrf_taskdep simulation 8192 256 1 11 145.865 IdchireAffinityAVG Affinity 50.547 1.13971 0
dpotrf_taskdep simulation 8192 256 1 124 1107.37 IdchireAffinityAVG RandLoc 2312.88 19.0055 0
dpotrf_taskdep simulation 8192 256 1 14 185.167 IdchireAffinityAVG Affinity 41.7823 1.16962 0
dpotrf_taskdep simulation 8192 256 1 13 170.046 IdchireAffinityAVG Affinity 45.5426 1.19168 0
dpotrf_taskdep simulation 8192 256 1 15 192.642 IdchireAffinityAVG Affinity 45.9754 1.19669 0
dpotrf_taskdep simulation 8192 256 1 16 211.772 IdchireAffinityAVG Affinity 81.6658 1.1885 0
dpotrf_taskdep simulation 8192 256 1 126 1094.03 IdchireAffinityAVG RandLoc 2455.86 19.8409 0
dpotrf_taskdep simulation 8192 256 1 125 1095.52 IdchireAffinityAVG RandLoc 2355.47 19.1888 0
dpotrf_taskdep simulation 8192 256 1 18 235.648 IdchireAffinityAVG Affinity 51.296 1.21123 0
dpotrf_taskdep simulation 8192 256 1 17 221.712 IdchireAffinityAVG Affinity 47.549 1.19586 0
dpotrf_taskdep simulation 8192 256 1 20 263.219 IdchireAffinityAVG Affinity 65.9835 1.27958 0
dpotrf_taskdep simulation 8192 256 1 127 1125.63 IdchireAffinityAVG RandLoc 2492.25 19.9641 0
dpotrf_taskdep simulation 8192 256 1 19 243.497 IdchireAffinityAVG Affinity 98.8143 1.43616 0
dpotrf_taskdep simulation 8192 256 1 21 272.76 IdchireAffinityAVG Affinity 95.2614 1.41979 0
dpotrf_taskdep simulation 8192 256 1 23 298.518 IdchireAffinityAVG Affinity 83.4362 1.36664 0
dpotrf_taskdep simulation 8192 256 1 22 282.495 IdchireAffinityAVG Affinity 122.698 1.50351 0
dpotrf_taskdep simulation 8192 256 1 24 304.951 IdchireAffinityAVG Affinity 118.733 1.52323 0
dpotrf_taskdep simulation 8192 256 1 128 1108.31 IdchireAffinityAVG RandLoc 2635.03 20.9248 0
dpotrf_taskdep simulation 8192 256 1 130 1151.47 IdchireAffinityAVG RandLoc 2636.89 20.6292 0
dpotrf_taskdep simulation 8192 256 1 129 1107.26 IdchireAffinityAVG RandLoc 2686.31 21.1633 0
dpotrf_taskdep simulation 8192 256 1 25 316.853 IdchireAffinityAVG Affinity 117.794 1.52457 0
dpotrf_taskdep simulation 8192 256 1 28 361.333 IdchireAffinityAVG Affinity 117.152 1.51855 0
dpotrf_taskdep simulation 8192 256 1 26 329.316 IdchireAffinityAVG Affinity 158.685 1.70622 0
dpotrf_taskdep simulation 8192 256 1 29 365.364 IdchireAffinityAVG Affinity 137.594 1.6133 0
dpotrf_taskdep simulation 8192 256 1 132 1097.96 IdchireAffinityAVG RandLoc 2774.89 21.3717 0
dpotrf_taskdep simulation 8192 256 1 131 1113.3 IdchireAffinityAVG RandLoc 2710.05 21.0236 0
dpotrf_taskdep simulation 8192 256 1 30 373.865 IdchireAffinityAVG Affinity 173.509 1.7754 0
dpotrf_taskdep simulation 8192 256 1 27 325.724 IdchireAffinityAVG Affinity 218.47 1.98546 0
dpotrf_taskdep simulation 8192 256 1 133 1136.12 IdchireAffinityAVG RandLoc 2926.7 22.3337 0
dpotrf_taskdep simulation 8192 256 1 31 387.019 IdchireAffinityAVG Affinity 187.226 1.78877 0
dpotrf_taskdep simulation 8192 256 1 34 435.887 IdchireAffinityAVG Affinity 183.139 1.7759 0
dpotrf_taskdep simulation 8192 256 1 36 452.617 IdchireAffinityAVG Affinity 224.338 1.98847 0
dpotrf_taskdep simulation 8192 256 1 32 392.222 IdchireAffinityAVG Affinity 288.53 2.14439 0
dpotrf_taskdep simulation 8192 256 1 37 455.904 IdchireAffinityAVG Affinity 206.836 1.9268 0
dpotrf_taskdep simulation 8192 256 1 39 492.233 IdchireAffinityAVG Affinity 197.331 1.88001 0
dpotrf_taskdep simulation 8192 256 1 35 427.283 IdchireAffinityAVG Affinity 255.965 2.13135 0
dpotrf_taskdep simulation 8192 256 1 135 1166.77 IdchireAffinityAVG RandLoc 2938.25 22.1068 0
dpotrf_taskdep simulation 8192 256 1 38 455.814 IdchireAffinityAVG Affinity 270.571 2.21858 0
dpotrf_taskdep simulation 8192 256 1 33 419.403 IdchireAffinityAVG Affinity 333.611 2.16444 0
dpotrf_taskdep simulation 8192 256 1 134 1121.79 IdchireAffinityAVG RandLoc 3134.55 23.7203 0
dpotrf_taskdep simulation 8192 256 1 40 478.785 IdchireAffinityAVG Affinity 325.06 2.47109 0
dpotrf_taskdep simulation 8192 256 1 136 1110.78 IdchireAffinityAVG RandLoc 3224 24.0262 0
dpotrf_taskdep simulation 8192 256 1 138 1185.51 IdchireAffinityAVG RandLoc 3147.57 23.1435 0
dpotrf_taskdep simulation 8192 256 1 137 1139.6 IdchireAffinityAVG RandLoc 3178.88 23.5319 0
dpotrf_taskdep simulation 8192 256 1 41 485.473 IdchireAffinityAVG Affinity 364.49 2.64923 0
dpotrf_taskdep simulation 8192 256 1 42 478.365 IdchireAffinityAVG Affinity 425.308 2.9365 0
dpotrf_taskdep simulation 8192 256 1 140 1172.02 IdchireAffinityAVG RandLoc 3443.15 24.919 0
dpotrf_taskdep simulation 8192 256 1 44 520.329 IdchireAffinityAVG Affinity 421.54 2.90023 0
dpotrf_taskdep simulation 8192 256 1 139 1131.84 IdchireAffinityAVG RandLoc 3244.92 23.6723 0
dpotrf_taskdep simulation 8192 256 1 43 517.895 IdchireAffinityAVG Affinity 462.646 3.09308 0
dpotrf_taskdep simulation 8192 256 1 141 1147.06 IdchireAffinityAVG RandLoc 3380.72 24.3056 0
dpotrf_taskdep simulation 8192 256 1 45 519.542 IdchireAffinityAVG Affinity 453.769 3.05849 0
dpotrf_taskdep simulation 8192 256 1 48 568.983 IdchireAffinityAVG Affinity 459.323 3.03242 0
dpotrf_taskdep simulation 8192 256 1 46 528.487 IdchireAffinityAVG Affinity 481.964 3.189 0
dpotrf_taskdep simulation 8192 256 1 142 1194.16 IdchireAffinityAVG RandLoc 3455.83 24.6651 0
