threads  kid  date(rdtsc)     duration  task_id
192       10    586740248      3556688  dgemm
192        1    586596722      3920800  dgemm
192       14    586926528      3628736  dgemm
192       11    586629880      3932532  dgemm
192        3    586882978      3769652  dgemm
192        6    587562530      3378164  dgemm
192        7    587817230      3697288  dgemm
192        2    588409946      3354660  dgemm
192        9    588883904      3520296  dgemm
192       15    588999244      3583036  dgemm
192        5    588950842      3800352  dgemm
192       12    589087240      3906772  dgemm
192       14    590580328      3674292  dgemm
192       11    590580300      3847676  dgemm
192        1    590535150      3990584  dgemm
192        9    592422256      2154340  dgemm
192        6    590956010      3667536  dgemm
192        7    591525066      3462596  dgemm
192        3    590692790      4311800  dgemm
192       15    592598248      3497120  dgemm
192        5    592765382      3613932  dgemm
192       12    593012792      3691780  dgemm
192       13    593510436      3602168  dgemm
192       14    594273528      3639544  dgemm
192        1    594545654      3514444  dgemm
192        4    594211226      3878212  dgemm
192        6    594634950      3571656  dgemm
192       11    594442552      3810624  dgemm
192        8    594917788      3418020  dgemm
192        7    594999966      3361556  dgemm
192        5    596392366      2154408  dgemm
192        3    595018250      4003564  dgemm
192       10    595526948      4035276  dgemm
192        2    596306482      3433212  dgemm
192       15    596111316      3693176  dgemm
192       12    596717620      3676444  dgemm
192        7    598387470      2039988  dgemm
192       14    597922144      3676680  dgemm
192        6    598220322      3461188  dgemm
192        1    598071198      3738676  dgemm
192       11    598265912      3664784  dgemm
192        4    598096766      3889216  dgemm
192        3    599035034      4015552  dgemm
192        2    599750482      3483364  dgemm
192        9    599880072      3552320  dgemm
192       10    599576924      3867428  dgemm
192       15    599815016      3722388  dgemm
192        6    601705842      2152244  dgemm
192       12    600409428      3701912  dgemm
192       14    601611808      3822604  dgemm
192        1    601820930      3751672  dgemm
192        4    601992486      3847096  dgemm
192       13    602116988      4018212  dgemm
192       11    601947400      4273156  dgemm
192        8    603175268      3546096  dgemm
192        3    603059162      3911152  dgemm
192        2    603241142      3748496  dgemm
192       10    603456748      3703784  dgemm
192       15    603547428      3832012  dgemm
192       12    604139108      3787140  dgemm
192        5    604614706      3664464  dgemm
192        7    605589038      3371036  dgemm
192       14    605462828      3779544  dgemm
192        1    605583102      3809488  dgemm
192        4    605848494      3834536  dgemm
