#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 136 10 128 228.708120 1514568282467274729 1514568283278663382 5.764609
#Experience summarry : avg : 228.708120 :: std : 5.764609 :: min : 219.780761 :: max : 238.262110 :: median : 230.311964

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 448 10 128 419.518209 1514568341062122980 1514568341498258004 6.813141
#Experience summarry : avg : 419.518209 :: std : 6.813141 :: min : 409.625853 :: max : 429.948898 :: median : 421.964676

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 200 10 64 694.412764 1514571385340575200 1514571387457867908 1.851285
#Experience summarry : avg : 694.412764 :: std : 1.851285 :: min : 691.789922 :: max : 697.343977 :: median : 694.214104

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 208 10 64 734.910608 1514571465621488850 1514571467611539225 1.964402
#Experience summarry : avg : 734.910608 :: std : 1.964402 :: min : 732.447158 :: max : 738.404669 :: median : 735.057305

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 216 10 64 719.197637 1514571546162260890 1514571548195885753 3.707042
#Experience summarry : avg : 719.197637 :: std : 3.707042 :: min : 711.290828 :: max : 723.040515 :: median : 720.954204

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 224 10 64 786.265000 1514571625014956120 1514571626884966643 6.142257
#Experience summarry : avg : 786.265000 :: std : 6.142257 :: min : 773.257170 :: max : 797.221654 :: median : 787.391958

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 232 10 64 735.203937 1514571705010826554 1514571707007826524 2.845330
#Experience summarry : avg : 735.203937 :: std : 2.845330 :: min : 731.359848 :: max : 741.234746 :: median : 734.626767

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 248 10 64 760.279823 1514571784538789227 1514571786461523201 4.924331
#Experience summarry : avg : 760.279823 :: std : 4.924331 :: min : 751.720903 :: max : 769.612956 :: median : 760.574981

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 264 10 64 774.999976 1514571863628402002 1514571865511127357 3.416102
#Experience summarry : avg : 774.999976 :: std : 3.416102 :: min : 768.027467 :: max : 778.977235 :: median : 775.042184

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 272 10 64 802.395036 1514571941996372483 1514571943807123396 4.231126
#Experience summarry : avg : 802.395036 :: std : 4.231126 :: min : 796.806188 :: max : 809.691961 :: median : 801.867068

