#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 264 10 128 546.555520 1513966647304360504 1513966647639200046 21.165695
#Experience summarry : avg : 546.555520 :: std : 21.165695 :: min : 503.746261 :: max : 573.574117 :: median : 551.651125

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 272 10 128 551.402851 1513966703932021783 1513966704282538401 23.071728
#Experience summarry : avg : 551.402851 :: std : 23.071728 :: min : 512.602148 :: max : 584.214111 :: median : 555.272712

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 288 10 128 535.568309 1513966760647552723 1513966760974528987 31.589427
#Experience summarry : avg : 535.568309 :: std : 31.589427 :: min : 468.731090 :: max : 594.312940 :: median : 544.441023

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 304 10 128 547.124588 1513966817164533544 1513966817507443586 20.886800
#Experience summarry : avg : 547.124588 :: std : 20.886800 :: min : 516.287082 :: max : 582.717328 :: median : 553.744027

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 320 10 128 541.750011 1513966873763463020 1513966874110812024 17.833804
#Experience summarry : avg : 541.750011 :: std : 17.833804 :: min : 513.482426 :: max : 559.617591 :: median : 554.057715

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 336 10 128 544.168085 1513966930247637161 1513966930584923825 11.717266
#Experience summarry : avg : 544.168085 :: std : 11.717266 :: min : 519.652418 :: max : 562.546388 :: median : 545.885756

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 352 10 128 534.340086 1513966986819405906 1513966987148428370 22.335835
#Experience summarry : avg : 534.340086 :: std : 22.335835 :: min : 494.717946 :: max : 560.703312 :: median : 548.120630

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 400 10 128 486.599504 1513967043611982078 1513967044019093495 23.089053
#Experience summarry : avg : 486.599504 :: std : 23.089053 :: min : 450.210202 :: max : 525.902686 :: median : 482.316484

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 8192 448 10 128 449.021492 1513967100767853236 1513967101180527507 11.218785
#Experience summarry : avg : 449.021492 :: std : 11.218785 :: min : 429.269228 :: max : 465.766229 :: median : 448.789097

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 576 10 64 449.782264 1514635084248905682 1514635087587947225 28.376650
#Experience summarry : avg : 449.782264 :: std : 28.376650 :: min : 397.334316 :: max : 492.288952 :: median : 456.667496

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 640 10 64 448.811255 1514635178567724321 1514635181957574828 17.355285
#Experience summarry : avg : 448.811255 :: std : 17.355285 :: min : 427.147647 :: max : 475.780422 :: median : 443.102956

#Output follows this header :
##Progname Size Blocksize Iterations Threads Gflops(Mean) startTime endTime Stddev
dpotrf_taskdep 16384 704 10 64 460.281434 1514635271587910416 1514635275040455397 21.532706
#Experience summarry : avg : 460.281434 :: std : 21.532706 :: min : 424.657535 :: max : 499.273569 :: median : 460.236228

