"Exp" "Blocksize" "Access" "total_cores" "kernel" "thread" "GFlops" "cycles" "cycles_ref" "Std" "Nxp"
"127" "dpotrf" 64 "local" 16 "dpotrf" 24 3.08623706 48694.68 2213.42 0.438134189888115 50
"128" "dpotrf" 64 "local" 16 "dpotrf" 28 3.09934952 48677.24 2212.88 0.446711845449146 50
"129" "dpotrf" 64 "local" 16 "dpotrf" 32 3.09428368 48322.22 2195.98 0.446406024332541 50
"130" "dpotrf" 64 "local" 16 "dpotrf" 36 3.07791838 49043.1 2228.94 0.448118505661757 50
"131" "dpotrf" 64 "local" 16 "dpotrf" 40 3.11613536 48441.62 2202.1 0.437892866557319 50
"132" "dpotrf" 64 "local" 16 "dpotrf" 44 3.08315098 48541.42 2206.26 0.440661102165246 50
"133" "dpotrf" 64 "local" 16 "dpotrf" 48 3.14322478 47698.24 2167.86 0.444154187565318 50
"134" "dpotrf" 64 "local" 16 "dpotrf" 52 3.08278232 48541.44 2206.4 0.442047889700091 50
"135" "dpotrf" 64 "local" 16 "dpotrf" 56 3.0737175 48519.14 2205.18 0.438384509935371 50
"136" "dpotrf" 64 "local" 16 "dpotrf" 60 3.09080912 48987.92 2226.68 0.443949325068666 50
"137" "dpotrf" 64 "local" 17 "dpotrf" 0 3.03499634 49785.4 2262.94 0.459103976671846 50
"138" "dpotrf" 64 "local" 17 "dpotrf" 4 3.07292367346939 48954.6530612245 2224.85714285714 0.167581369970604 49
"139" "dpotrf" 64 "local" 17 "dpotrf" 8 3.04201204081633 49480.8163265306 2249 0.164552911854865 49
"140" "dpotrf" 64 "local" 17 "dpotrf" 12 3.01262608 50327.62 2287.72 0.430432645728374 50
"141" "dpotrf" 64 "local" 17 "dpotrf" 16 2.9845142 50050.68 2274.9 0.459025674832541 50
"142" "dpotrf" 64 "local" 17 "dpotrf" 20 2.96979488 50824.5 2309.92 0.4608418796061 50
"143" "dpotrf" 64 "local" 17 "dpotrf" 24 2.98243308 50272 2285.16 0.443998291759025 50
"144" "dpotrf" 64 "local" 17 "dpotrf" 28 3.0087608 50279.12 2285.34 0.441648679746465 50
"145" "dpotrf" 64 "local" 17 "dpotrf" 32 2.98600564 50371.42 2289.62 0.457981477158048 50
"146" "dpotrf" 64 "local" 17 "dpotrf" 36 3.01729784 49994.78 2272.36 0.444437948401577 50
"147" "dpotrf" 64 "local" 17 "dpotrf" 40 2.99994386 50175.54 2280.88 0.434285976985447 50
"148" "dpotrf" 64 "local" 17 "dpotrf" 44 3.04582638 49326.8 2242 0.445284776706144 50
"149" "dpotrf" 64 "local" 17 "dpotrf" 48 3.03063354 50309.08 2286.94 0.446087779376469 50
"150" "dpotrf" 64 "local" 17 "dpotrf" 52 3.0193515 49973.4 2271.16 0.444488490446075 50
"151" "dpotrf" 64 "local" 17 "dpotrf" 56 2.9912082 50271.58 2285.12 0.444492538587499 50
"152" "dpotrf" 64 "local" 17 "dpotrf" 60 3.00499752 49853.72 2265.96 0.449053369233739 50
"153" "dpotrf" 64 "local" 17 "dpotrf" 64 2.9885279 50470.7 2294.48 0.449085822321631 50
"154" "dpotrf" 64 "local" 18 "dpotrf" 0 3.0744466 48858.66 2220.26 0.479658639134507 50
"155" "dpotrf" 64 "local" 18 "dpotrf" 4 3.12657326530612 47475.5102040816 2157.42857142857 0.228082453944728 49
"156" "dpotrf" 64 "local" 18 "dpotrf" 8 3.10410795918367 48047.0612244898 2184.59183673469 0.226598496639059 49
"157" "dpotrf" 64 "local" 18 "dpotrf" 12 3.07441 48324.24 2196.48 0.477601329502816 50
"158" "dpotrf" 64 "local" 18 "dpotrf" 16 3.11886116 48398.7 2199.76 0.444385901525495 50
