Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_7 7 copy 5  200000000 114.3
bandwidth_200000000_0_7 7 copy 5  200000000 113.897
bandwidth_200000000_0_7 7 copy 5  200000000 113.941
bandwidth_200000000_0_7 7 copy 5  200000000 113.894
bandwidth_200000000_0_7 7 copy 5  200000000 114.552
bandwidth_200000000_0_7 7 copy 5  200000000 113.759
bandwidth_200000000_0_7 7 copy 5  200000000 113.364
bandwidth_200000000_0_7 7 copy 6  200000000 115.042
bandwidth_200000000_0_7 7 copy 6  200000000 114.421
bandwidth_200000000_0_7 7 copy 6  200000000 114.435
bandwidth_200000000_0_7 7 copy 6  200000000 114.665
bandwidth_200000000_0_7 7 copy 6  200000000 113.692
bandwidth_200000000_0_7 7 copy 6  200000000 114.389
bandwidth_200000000_0_7 7 copy 6  200000000 115.29
bandwidth_200000000_0_7 7 copy 6  200000000 115.814
bandwidth_200000000_0_7 7 copy 6  200000000 113.553
bandwidth_200000000_0_7 7 copy 6  200000000 113.672
Exp total_cores kernel thread size time-ms
bandwidth_200000000_0_8 8 copy 0  200000000 134.739
bandwidth_200000000_0_8 8 copy 0  200000000 133.522
bandwidth_200000000_0_8 8 copy 0  200000000 133.283
bandwidth_200000000_0_8 8 copy 0  200000000 134.139
bandwidth_200000000_0_8 8 copy 0  200000000 133.409
bandwidth_200000000_0_8 8 copy 0  200000000 133.184
bandwidth_200000000_0_8 8 copy 0  200000000 133.679
bandwidth_200000000_0_8 8 copy 0  200000000 133.232
bandwidth_200000000_0_8 8 copy 0  200000000 134.105
bandwidth_200000000_0_8 8 copy 0  200000000 121.216
bandwidth_200000000_0_8 8 copy 1  200000000 139.574
bandwidth_200000000_0_8 8 copy 1  200000000 138.667
bandwidth_200000000_0_8 8 copy 1  200000000 138.188
bandwidth_200000000_0_8 8 copy 1  200000000 137.632
bandwidth_200000000_0_8 8 copy 1  200000000 139.961
bandwidth_200000000_0_8 8 copy 1  200000000 138.786
bandwidth_200000000_0_8 8 copy 1  200000000 139.335
bandwidth_200000000_0_8 8 copy 1  200000000 138.899
bandwidth_200000000_0_8 8 copy 1  200000000 138.046
bandwidth_200000000_0_8 8 copy 1  200000000 98.4532
bandwidth_200000000_0_8 8 copy 2  200000000 131.872
bandwidth_200000000_0_8 8 copy 2  200000000 130.566
bandwidth_200000000_0_8 8 copy 2  200000000 129.814
bandwidth_200000000_0_8 8 copy 2  200000000 131.555
bandwidth_200000000_0_8 8 copy 2  200000000 130.634
bandwidth_200000000_0_8 8 copy 2  200000000 130.398
bandwidth_200000000_0_8 8 copy 2  200000000 130.851
bandwidth_200000000_0_8 8 copy 2  200000000 130.106
bandwidth_200000000_0_8 8 copy 2  200000000 130.544
bandwidth_200000000_0_8 8 copy 2  200000000 129.975
bandwidth_200000000_0_8 8 copy 3  200000000 134.875
bandwidth_200000000_0_8 8 copy 3  200000000 135.686
bandwidth_200000000_0_8 8 copy 3  200000000 134.302
bandwidth_200000000_0_8 8 copy 3  200000000 134.554
bandwidth_200000000_0_8 8 copy 3  200000000 135.113
bandwidth_200000000_0_8 8 copy 3  200000000 134.352
bandwidth_200000000_0_8 8 copy 3  200000000 134.898
bandwidth_200000000_0_8 8 copy 3  200000000 134.652
bandwidth_200000000_0_8 8 copy 3  200000000 134.306
bandwidth_200000000_0_8 8 copy 3  200000000 116.777
bandwidth_200000000_0_8 8 copy 4  200000000 131.875
bandwidth_200000000_0_8 8 copy 4  200000000 130.629
bandwidth_200000000_0_8 8 copy 4  200000000 133.106
bandwidth_200000000_0_8 8 copy 4  200000000 133.763
bandwidth_200000000_0_8 8 copy 4  200000000 130.199
bandwidth_200000000_0_8 8 copy 4  200000000 132.254
bandwidth_200000000_0_8 8 copy 4  200000000 133.198
bandwidth_200000000_0_8 8 copy 4  200000000 133.184
bandwidth_200000000_0_8 8 copy 4  200000000 131.381
bandwidth_200000000_0_8 8 copy 4  200000000 126.146
bandwidth_200000000_0_8 8 copy 5  200000000 129.787
bandwidth_200000000_0_8 8 copy 5  200000000 131.045
bandwidth_200000000_0_8 8 copy 5  200000000 131.638
bandwidth_200000000_0_8 8 copy 5  200000000 129.874
bandwidth_200000000_0_8 8 copy 5  200000000 130.177
bandwidth_200000000_0_8 8 copy 5  200000000 128.214
bandwidth_200000000_0_8 8 copy 5  200000000 129.465
bandwidth_200000000_0_8 8 copy 5  200000000 130.953
bandwidth_200000000_0_8 8 copy 5  200000000 129.545
bandwidth_200000000_0_8 8 copy 5  200000000 131.211
bandwidth_200000000_0_8 8 copy 6  200000000 136.837
bandwidth_200000000_0_8 8 copy 6  200000000 133.527
bandwidth_200000000_0_8 8 copy 6  200000000 135.311
bandwidth_200000000_0_8 8 copy 6  200000000 136.638
bandwidth_200000000_0_8 8 copy 6  200000000 134.348
bandwidth_200000000_0_8 8 copy 6  200000000 136.105
bandwidth_200000000_0_8 8 copy 6  200000000 136.688
bandwidth_200000000_0_8 8 copy 6  200000000 134.991
bandwidth_200000000_0_8 8 copy 6  200000000 134.011
bandwidth_200000000_0_8 8 copy 6  200000000 114.659
bandwidth_200000000_0_8 8 copy 7  200000000 130.103
bandwidth_200000000_0_8 8 copy 7  200000000 129.591
bandwidth_200000000_0_8 8 copy 7  200000000 132.215
bandwidth_200000000_0_8 8 copy 7  200000000 130.514
bandwidth_200000000_0_8 8 copy 7  200000000 131.577
bandwidth_200000000_0_8 8 copy 7  200000000 130.471
bandwidth_200000000_0_8 8 copy 7  200000000 130.622
bandwidth_200000000_0_8 8 copy 7  200000000 130.017
bandwidth_200000000_0_8 8 copy 7  200000000 130.073
bandwidth_200000000_0_8 8 copy 7  200000000 130.179
Exp total_cores kernel thread size time-ms
bandwidth_200000000_10_1 2 copy 0  200000000 208.444
bandwidth_200000000_10_1 2 copy 0  200000000 207.058
